source,target,edge_source
10.3102/00346543241241327,10.1016/j.robot.2015.10.008,openalex
10.3102/00346543241241327,10.1016/j.compedu.2019.04.013,openalex
10.3102/00346543241241327,10.3102/0034654317710096,openalex
10.3102/00346543241241327,10.1016/j.compedu.2021.104173,openalex
10.3102/00346543241241327,10.1111/jcal.12155,openalex
10.3102/00346543241241327,10.1016/j.compedu.2014.11.022,openalex
10.3102/00346543241241327,10.1177/21582440211016418,openalex
10.3102/00346543241241327,10.1016/j.chb.2014.09.012,openalex
10.3102/00346543241241327,10.1080/18117295.2022.2133739,openalex
10.3102/00346543241241327,10.1007/s11135-017-0509-4,openalex
10.3102/00346543241241327,10.1016/j.compedu.2018.10.005,openalex
10.3102/00346543241241327,10.1016/j.compedu.2021.104196,openalex
10.3102/00346543241241327,10.1016/j.compedu.2016.03.003,openalex
10.3102/00346543241241327,10.1016/j.edurev.2017.09.003,openalex
10.3102/00346543241241327,10.1016/j.compedu.2016.04.011,openalex
10.3102/00346543241241327,10.15388/infedu.2019.19,openalex
10.3102/00346543241241327,10.18421/tem64-18,openalex
10.3102/00346543241241327,10.1145/1118178.1118215,openalex
10.1007/s11528-025-01052-6,10.21061/jte.v34i2.a.3,openalex
10.1007/s11528-025-01052-6,10.1177/07356331211004048,openalex
10.1007/s11528-025-01052-6,10.1007/s10639-021-10700-2,openalex
10.1007/s11528-025-01052-6,10.3389/fcomp.2022.997222,openalex
10.1007/s11528-025-01052-6,10.1016/j.tsc.2023.101285,openalex
10.1007/s11528-025-01052-6,10.3102/0034654317710096,openalex
10.1007/s11528-025-01052-6,10.1080/15391523.2021.1983894,openalex
10.1007/s11528-025-01052-6,10.1145/3545945.3569823,openalex
10.1007/s11528-025-01052-6,10.1108/ijilt-09-2016-0048,openalex
10.1007/s11528-025-01052-6,10.1007/s10639-022-11385-x,openalex
10.1007/s11528-025-01052-6,10.3102/0013189x12463051,openalex
10.1007/s11528-025-01052-6,10.1016/j.compedu.2022.104657,openalex
10.1007/s11528-025-01052-6,10.1007/s11191-022-00392-6,openalex
10.1007/s11528-025-01052-6,10.1007/s11251-018-9453-5,openalex
10.1007/s11528-025-01052-6,10.1007/s10758-021-09585-4,openalex
10.1007/s11528-025-01052-6,10.1016/j.chb.2017.01.005,openalex
10.1007/s11528-025-01052-6,10.15388/infedu.2018.17,openalex
10.1007/s11528-025-01052-6,10.1007/s10956-019-09803-w,openalex
10.1007/s11528-025-01052-6,10.1109/tlt.2024.3392896,openalex
10.1007/s11528-025-01052-6,10.1145/3304221.3319793,openalex
10.1007/s11528-025-01052-6,10.1007/978-981-13-6528-7_19,openalex
10.1007/s11528-025-01052-6,10.1016/j.ijcci.2021.100415,openalex
10.1007/s11528-025-01052-6,10.1016/j.edurev.2017.09.003,openalex
10.1007/s11528-025-01052-6,10.1177/10567879221076077,openalex
10.1007/s11528-025-01052-6,10.1016/j.compedu.2019.103798,openalex
10.1007/s11528-025-01052-6,10.1007/s10639-022-11465-y,openalex
10.1007/s11528-025-01052-6,10.1016/j.chb.2018.11.038,openalex
10.1007/s11528-025-01052-6,10.1007/s10639-015-9412-6,openalex
10.1007/s11528-025-01052-6,10.1007/s10639-023-12022-x,openalex
10.1007/s11528-025-01052-6,10.1145/1118178.1118215,openalex
10.1007/s11528-025-01052-6,10.1080/10494820.2018.1534245,openalex
