source,target,edge_source,year_source,period
10.1007/s10639-024-13104-0,10.1007/s10639-023-11671-2,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1111/bjet.13358,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1177/07356331221133822,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1007/s40299-019-00480-2,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1007/s11423-023-10328-8,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1016/j.compedu.2021.104425,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1007/s10639-023-12022-x,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1016/j.compedu.2020.104023,openalex,2025,p3_2020_2026
10.1007/s10639-024-13104-0,10.1007/s11528-022-00695-z,openalex,2025,p3_2020_2026
10.1080/10494820.2024.2375342,10.1016/j.caeo.2023.100122,openalex,2025,p3_2020_2026
10.1016/j.caeai.2024.100319,10.1016/j.ijcci.2021.100415,openalex,2024,p3_2020_2026
10.1016/j.caeai.2024.100319,10.1007/s40692-023-00304-9,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1007/s10956-019-09798-4,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1016/j.compedu.2022.104707,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1016/j.compedu.2020.103872,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1007/s41979-023-00100-1,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1007/s10956-019-09803-w,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1007/s11191-021-00202-5,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1007/s41979-022-00077-3,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1007/s10639-022-11342-8,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1002/tea.21834,openalex,2024,p3_2020_2026
10.1186/s40594-024-00510-6,10.1016/j.compedu.2021.104196,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.ijcci.2021.100329,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10956-019-09805-8,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.tsc.2022.101224,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1186/s40594-023-00434-7,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/07356331221114183,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.29333/ejmste/10789,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/07356331211033158,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10798-019-09559-9,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/jcal.12591,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/bjet.13157,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/jcal.12845,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10956-019-09803-w,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10956-019-09802-x,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1080/15391523.2021.1962453,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s12528-021-09305-y,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s11423-021-10016-5,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/07356331221133822,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1080/15391523.2020.1870250,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s11858-023-01509-z,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1080/20004508.2019.1627844,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.chbr.2021.100166,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/bjet.13092,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1080/10494820.2019.1612448,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.chb.2020.106349,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/jcal.12545,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/jcal.12750,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1080/15391523.2020.1784066,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.compedu.2019.103798,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10639-021-10617-w,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/0735633120972356,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/07356331211017794,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.compedu.2021.104425,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s11423-022-10093-0,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10956-019-09801-y,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.tsc.2022.101193,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.tsc.2022.101041,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1186/s40594-023-00396-w,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1111/jcal.12723,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1007/s10956-019-09794-8,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/0735633120978530,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1177/07356331211057143,openalex,2024,p3_2020_2026
10.1186/s40594-024-00498-z,10.1016/j.compedu.2022.104445,openalex,2024,p3_2020_2026
10.1016/j.learninstruc.2024.101995,10.1177/07356331231178948,openalex,2024,p3_2020_2026
10.1016/j.learninstruc.2024.101995,10.1080/10494820.2021.1931891,openalex,2024,p3_2020_2026
10.1186/s40594-024-00495-2,10.1016/j.tsc.2023.101285,openalex,2024,p3_2020_2026
10.1186/s40594-024-00495-2,10.1007/s10639-023-11671-2,openalex,2024,p3_2020_2026
10.1186/s40594-024-00495-2,10.1016/j.heliyon.2024.e29177,openalex,2024,p3_2020_2026
10.1111/jcal.13040,10.1111/jcal.12818,openalex,2024,p3_2020_2026
10.1111/jcal.13040,10.1007/s10956-020-09831-x,openalex,2024,p3_2020_2026
10.1111/jcal.13040,10.1111/bjet.13215,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1007/s10639-021-10700-2,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1109/tetc.2017.2768550,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1080/08993408.2021.1903248,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1016/j.chb.2020.106575,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1177/0735633120965919,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1177/0735633119887187,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1109/icalt49669.2020.00061,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1109/cog47356.2020.9231881,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.3389/feduc.2021.657895,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1016/j.compedu.2021.104222,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1007/s11042-020-09202-z,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1016/j.compedu.2019.103798,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.15388/infedu.2020.30,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1109/educon45650.2020.9125087,openalex,2024,p3_2020_2026
10.1007/s40692-023-00300-z,10.1007/s10639-022-11181-7,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.6018/red.410121,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.19173/irrodl.v22i4.5474,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1016/j.compedu.2022.104657,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1007/s11191-022-00392-6,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1080/10494820.2019.1580750,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1109/access.2020.2977679,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.3389/fpsyg.2021.640115,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1007/s11858-020-01200-7,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1016/j.ijcci.2021.100415,openalex,2024,p3_2020_2026
10.1177/07356331241248686,10.1186/s40594-023-00396-w,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.chb.2019.03.018,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.compedu.2020.103807,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s10639-021-10700-2,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s10643-021-01236-8,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s10643-022-01319-0,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.ijcci.2023.100566,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.ecresq.2023.03.004,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.3390/educsci13090858,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s40299-019-00478-w,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.tsc.2022.101218,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.edurev.2023.100520,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s10639-023-11843-0,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s11528-023-00841-1,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1016/j.caeo.2023.100122,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s12144-021-02085-9,openalex,2024,p3_2020_2026
10.1016/j.tsc.2024.101576,10.1007/s10643-023-01475-x,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.3389/feduc.2022.757627,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.chb.2019.03.018,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1007/s10639-021-10700-2,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.4018/978-1-7998-7308-2,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1177/07356331221114183,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1177/0735633119872908,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1109/tlt.2022.3180588,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.compedu.2020.103832,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.3389/fpsyg.2022.904761,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1007/s10639-023-12415-y,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1111/bjet.13157,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1080/21532974.2019.1693940,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.ecresq.2023.05.009,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.elerap.2020.101011,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1007/s10639-021-10765-z,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1080/15391523.2020.1870250,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.compedu.2023.104961,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1080/20004508.2019.1627844,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.compedu.2021.104222,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1177/10567879221076077,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1080/10494820.2021.1931891,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1111/jcal.12545,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1080/15391523.2020.1784066,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1080/10409289.2020.1759012,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1007/s10639-022-11445-2,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1002/cae.22609,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1111/bjet.13266,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1111/bjet.13215,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1016/j.tsc.2022.101218,openalex,2024,p3_2020_2026
10.1177/07356331241236744,10.1177/07356331211057143,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1007/s11528-019-00461-8,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1016/j.tsc.2021.100929,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1080/08993408.2021.1903248,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1177/0735633120965919,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.3390/educsci11020080,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1016/j.elerap.2020.101011,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1007/s11423-019-09708-w,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1111/bjet.13092,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1016/j.compedu.2019.103798,openalex,2024,p3_2020_2026
10.1111/bjet.13443,10.1007/s10758-021-09565-8,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1016/j.chb.2019.03.018,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1002/tea.21899,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1007/s10956-019-09802-x,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1016/j.compedu.2019.103759,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1007/s10956-020-09831-x,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.11591/ijere.v12i2.24232,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1007/s10639-022-10893-0,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1007/s10956-020-09836-6,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1111/jcal.12493,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1007/s10639-021-10617-w,openalex,2024,p3_2020_2026
10.1007/s10639-024-12492-7,10.1111/jcal.12723,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1016/j.chb.2019.106185,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1016/j.chb.2019.03.018,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1007/s11528-019-00461-8,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1016/j.compedu.2020.103807,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1177/07356331211004048,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1007/s10758-018-9391-y,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1177/07356331211033158,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1111/jcal.12591,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1007/s11423-021-10021-8,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1145/3427596,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1111/bjet.13157,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1016/j.compedu.2019.103759,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1145/3494579,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1080/10494820.2019.1612448,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1177/0735633121992479,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1111/jcal.12493,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1111/jcal.12545,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1016/j.compedu.2022.104457,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1016/j.compedu.2021.104425,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1080/10409289.2020.1759012,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1080/10494820.2018.1534245,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1007/s10639-023-11880-9,openalex,2024,p3_2020_2026
10.1007/s10639-024-12448-x,10.1177/0735633120988807,openalex,2024,p3_2020_2026
10.3390/app14156418,10.1177/07356331211060470,openalex,2024,p3_2020_2026
10.3390/app14156418,10.1016/j.tsc.2023.101369,openalex,2024,p3_2020_2026
10.3390/app14156418,10.1177/0735633120965919,openalex,2024,p3_2020_2026
10.3390/app14156418,10.1016/j.compedu.2023.104794,openalex,2024,p3_2020_2026
10.1111/jcal.12996,10.1080/15391523.2021.1983894,openalex,2024,p3_2020_2026
10.1111/jcal.12996,10.1080/10494820.2022.2042311,openalex,2024,p3_2020_2026
10.1111/jcal.12996,10.1080/15391523.2021.1922105,openalex,2024,p3_2020_2026
10.1111/jcal.12996,10.1016/j.compedu.2021.104379,openalex,2024,p3_2020_2026
10.1111/jcal.12996,10.1177/07356331211039961,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11423-022-10161-5,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2020.1811734,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.tsc.2022.101224,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2020.1722712,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2022.2129392,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/0735633119872908,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11191-020-00141-7,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/02635143.2022.2036117,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10643-021-01236-8,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/0735633120979930,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1109/tlt.2022.3180588,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.compedu.2020.103832,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/07356331211033158,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1186/s41239-020-00196-0,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1111/bjet.13085,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10956-019-09796-6,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/0735633120973432,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10956-020-09892-y,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/00220671.2021.1884824,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/0735633120965919,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2019.1636090,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.compedu.2022.104657,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11191-022-00392-6,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11423-021-10021-8,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1111/jcal.12591,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1002/cae.22365,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11423-020-09766-5,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11251-022-09585-6,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10956-019-09798-4,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1145/3427596,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.compedu.2020.103872,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s40299-019-00479-9,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1145/3471573,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/07356331211027387,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2019.1580750,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10956-019-09802-x,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10643-022-01319-0,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.ijer.2022.102008,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/15391523.2021.1962453,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/18344909211010240,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2019.1674883,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1002/cae.22357,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11191-021-00202-5,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2019.1612446,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.compedu.2019.103759,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10639-022-11518-2,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2021.1938612,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10639-019-10048-8,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s11423-019-09708-w,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/03057267.2021.1963580,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.compedu.2022.104721,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.tsc.2021.100833,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2019.1635495,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10956-022-09965-0,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1002/tea.21834,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10956-020-09831-x,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.compedu.2021.104222,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1007/s10639-020-10115-5,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1080/10494820.2019.1612448,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1177/0735633120932871,openalex,2024,p3_2020_2026
10.1007/s11423-024-10364-y,10.1016/j.cag.2022.01.002,openalex,2024,p3_2020_2026
