doi,label,title,year,journal,ct_label_v2,ct_membership_score_v2,ct_score,citations_rank,openalex_cited_by_count,dimensions_times_cited,altmetric_score,mendeley_reader_count,openalex_top_concepts,period
10.1016/j.compedu.2019.103798,Assessing computational thinking: A systematic review of empirical studies,Assessing computational thinking: A systematic review of empirical studies,2020,Computers and Education,core,1.0,3,555.0,555.0,556.0,3.0,1242.0,Curriculum; Context (archaeology); Reliability (semiconductor); Construct (python library); Construct validity,p3_2020_2026
10.1016/j.caeai.2023.100147,"The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy a","The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy and motivation",2023,Computers and Education: Artificial Intelligence,core,1.0,3,498.0,498.0,548.0,150.35,1442.0,Computational thinking; Mathematics education; Computer science; Computer programming; Control (management),p3_2020_2026
10.1016/j.chb.2019.03.018,Developing young children's computational thinking with educational robotics: An interaction effect between gender and scaffolding strategy,Developing young children's computational thinking with educational robotics: An interaction effect between gender and scaffolding strategy,2020,Computers in Human Behavior,core,1.0,3,352.0,352.0,359.0,0.5,708.0,Computational thinking; Kinesthetic learning; Curriculum; Scaffold; Mathematics education,p3_2020_2026
10.1007/978-3-030-38781-5,Preparing for life in a digital world: IEA international computer and information literacy study 2018 international report,Preparing for life in a digital world: IEA international computer and information literacy study 2018 international report,2020,,core,0.8166666666666667,3,324.0,324.0,434.0,22.7,850.0,Computer science; History,p3_2020_2026
10.1016/j.chb.2019.106185,Computational thinking education: Issues and challenges,Computational thinking education: Issues and challenges,2020,Computers in Human Behavior,core,1.0,3,306.0,306.0,272.0,11.4,1113.0,Psychology; Computational thinking; Cognitive science; Computer science; Management science,p3_2020_2026
10.1080/20004508.2019.1627844,"Development of computational thinking, digital competence and 21st century skills when learning programming in K-9","Development of computational thinking, digital competence and 21st century skills when learning programming in K-9",2020,Education Inquiry,core,1.0,3,269.0,269.0,291.0,,1034.0,Computational thinking; Mathematics education; Competence (human resources); Thematic analysis; Curriculum,p3_2020_2026
10.1016/j.compedu.2020.103832,Computational thinking through unplugged activities in early years of Primary Education,Computational thinking through unplugged activities in early years of Primary Education,2020,Computers and Education,core,1.0,3,246.0,246.0,221.0,19.9,569.0,Inclusion (mineral); Mathematics education; Computational thinking; Domain (mathematical analysis); Code (set theory),p3_2020_2026
10.1145/3545945.3569823,Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language,Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language,2023,"PROCEEDINGS OF THE 54TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION, VOL 1, SIGCSE 2023",core,0.8500000000000001,2,227.0,227.0,287.0,,224.0,Computer science; Code (set theory); Natural (archaeology); Software engineering; Natural language understanding,p3_2020_2026
10.1016/j.compedu.2020.104023,The effectiveness of partial pair programming on elementary school students’ Computational Thinking skills and self-efficacy,The effectiveness of partial pair programming on elementary school students’ Computational Thinking skills and self-efficacy,2021,Computers and Education,core,1.0,3,209.0,209.0,189.0,5.35,542.0,Mathematics education; Computational thinking; Computer science; Self-efficacy; Psychology,p3_2020_2026
10.1007/s10956-019-09803-w,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mat","Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education",2020,Journal of Science Education and Technology,core,0.8166666666666667,3,187.0,187.0,176.0,3.0,627.0,Discipline; Perspective (graphical); Computational thinking; Context (archaeology); Science education,p3_2020_2026
10.1007/s11423-019-09708-w,Effects of robotics programming on the computational thinking and creativity of elementary school students,Effects of robotics programming on the computational thinking and creativity of elementary school students,2020,Educational Technology Research and Development,core,0.9083333333333334,3,183.0,183.0,182.0,1.25,414.0,Creativity; Computational thinking; Mathematics education; Robot; Robotics,p3_2020_2026
10.1080/10494820.2019.1612448,Computational thinking and mathematics using Scratch: an experiment with sixth-grade students,Computational thinking and mathematics using Scratch: an experiment with sixth-grade students,2020,Interactive Learning Environments,broad,0.7250000000000001,3,183.0,183.0,182.0,5.55,587.0,Scratch; Computational thinking; Computer science; Mathematics education; Mathematics,p3_2020_2026
10.1016/j.caeai.2023.100198,ChatGPT effects on cognitive skills of undergraduate students: Receiving instant responses from AI-based conversational large language model,ChatGPT effects on cognitive skills of undergraduate students: Receiving instant responses from AI-based conversational large language models (LLMs),2024,Computers and Education: Artificial Intelligence,broad,0.55,0,182.0,182.0,215.0,37.45,759.0,Mathematics education; Critical thinking; Psychology; Context (archaeology); Scale (ratio),p3_2020_2026
10.1186/s40594-020-00238-z,Fostering computational thinking through educational robotics: a model for creative computational problem solving,Fostering computational thinking through educational robotics: a model for creative computational problem solving,2020,International Journal of STEM Education,core,1.0,3,182.0,182.0,181.0,9.5,484.0,Computational thinking; Robotics; Educational robotics; Computer science; Interface (matter),p3_2020_2026
10.1007/s11191-021-00202-5,"Computational Thinking, Between Papert and Wing","Computational Thinking, Between Papert and Wing",2021,Science and Education,broad,0.5416666666666667,3,175.0,175.0,174.0,14.05,507.0,Context (archaeology); Computational thinking; Theme (computing); Strict constructionism; Mathematics education,p3_2020_2026
10.1016/j.compedu.2021.104222,Learning to code and the acquisition of computational thinking by young children,Learning to code and the acquisition of computational thinking by young children,2021,Computers and Education,core,1.0,3,168.0,168.0,153.0,2.0,496.0,Curriculum; Computational thinking; Coding (social sciences); Mathematics education; Psychology,p3_2020_2026
10.1007/s40299-019-00478-w,Designing Unplugged and Plugged Activities to Cultivate Computational Thinking: An Exploratory Study in Early Childhood Education,Designing Unplugged and Plugged Activities to Cultivate Computational Thinking: An Exploratory Study in Early Childhood Education,2020,Asia-Pacific Education Researcher,core,0.9083333333333334,3,167.0,167.0,161.0,1.85,414.0,Exploratory research; Mathematics education; Cognition; Psychology; Computational thinking,p3_2020_2026
10.2478/jdis-2021-0001,"A Scientometric Study of Digital Literacy, ICT Literacy, Information Literacy, and Media Literacy","A Scientometric Study of Digital Literacy, ICT Literacy, Information Literacy, and Media Literacy",2021,Journal of Data and Information Science,broad,0.6666666666666667,2,166.0,166.0,156.0,1.0,1295.0,Information literacy; Literacy; Information and Communications Technology; Digital literacy; Critical literacy,p3_2020_2026
10.1016/j.lmot.2022.101802,A review of Project-Based Learning (PBL) and Computational Thinking (CT) in teaching and learning,A review of Project-Based Learning (PBL) and Computational Thinking (CT) in teaching and learning,2022,Learning and Motivation,core,1.0,3,161.0,161.0,145.0,,767.0,Constructivism (international relations); Problem-based learning; Mathematics education; Project-based learning; Critical thinking,p3_2020_2026
10.1016/j.compedu.2020.103872,"Teacher development in computational thinking: Design and learning outcomes of programming concepts, practices and pedagogy","Teacher development in computational thinking: Design and learning outcomes of programming concepts, practices and pedagogy",2020,Computers and Education,broad,0.6333333333333333,3,159.0,159.0,153.0,5.35,552.0,Context (archaeology); Computer science; Professional development; Mathematics education; Computational thinking,p3_2020_2026
10.1007/s10956-020-09831-x,TechCheck: Development and Validation of an Unplugged Assessment of Computational Thinking in Early Childhood Education,TechCheck: Development and Validation of an Unplugged Assessment of Computational Thinking in Early Childhood Education,2020,Journal of Science Education and Technology,core,0.8166666666666667,3,157.0,157.0,160.0,7.3,379.0,Computational thinking; Coding (social sciences); Early childhood education; Early childhood; Science education,p3_2020_2026
10.1109/access.2020.3042555,"Educational Robotics: Platforms, Competitions and Expected Learning Outcomes","Educational Robotics: Platforms, Competitions and Expected Learning Outcomes",2020,IEEE ACCESS,broad,0.6333333333333333,3,153.0,153.0,136.0,,235.0,Artificial intelligence; Robotics; Computer science; Educational robotics; Categorization,p3_2020_2026
10.1177/1046878119901286,Examining Board Gameplay and Learning: A Multidisciplinary Review of Recent Research,Examining Board Gameplay and Learning: A Multidisciplinary Review of Recent Research,2020,Simulation and Gaming,broad,0.5416666666666667,3,153.0,153.0,132.0,35.4,412.0,Mainstream; Entertainment; Emergent gameplay; Game mechanics; Informal learning,p3_2020_2026
10.15388/infedu.2020.14,Teaching Machine Learning in School: A Systematic Mapping of the State of the Art,Teaching Machine Learning in School: A Systematic Mapping of the State of the Art,2020,INFORMATICS IN EDUCATION,broad,0.5416666666666667,3,150.0,150.0,127.0,,240.0,Computer science; Mathematics education; State (computer science); Educational technology; Teaching method,p3_2020_2026
10.1007/s10758-018-9391-y,"The Effects of Using Different Tools in Programming Teaching of Secondary School Students on Engagement, Computational Thinking and Reflecti","The Effects of Using Different Tools in Programming Teaching of Secondary School Students on Engagement, Computational Thinking and Reflective Thinking Skills for Problem Solving",2020,"Technology, Knowledge and Learning",core,1.0,3,146.0,146.0,135.0,3.6,412.0,Scratch; Alice (programming language); Mathematics education; Computational thinking; Critical thinking,p3_2020_2026
10.1007/s10956-019-09798-4,Teacher Change Following a Professional Development Experience in Integrating Computational Thinking into Elementary Science,Teacher Change Following a Professional Development Experience in Integrating Computational Thinking into Elementary Science,2020,Journal of Science Education and Technology,broad,0.5416666666666667,3,146.0,146.0,120.0,2.35,340.0,Science education; Professional development; Mathematics education; Faculty development; Computational thinking,p3_2020_2026
10.1016/j.ece.2023.05.001,Exploring the use of large language models (LLMs) in chemical engineering education: Building core course problem models with Chat-GPT,Exploring the use of large language models (LLMs) in chemical engineering education: Building core course problem models with Chat-GPT,2023,Education for Chemical Engineers,broad,0.6666666666666667,2,142.0,142.0,145.0,13.75,366.0,Computer science; Mathematics education; Engineering ethics; Engineering; Psychology,p3_2020_2026
10.1007/s11528-019-00410-5,Unplugged Approaches to Computational Thinking: a Historical Perspective,Unplugged Approaches to Computational Thinking: a Historical Perspective,2020,TechTrends,core,1.0,3,138.0,138.0,135.0,28.4,354.0,Perspective (graphical); Computational thinking; Educational technology; Computer science; Management science,p3_2020_2026
10.1016/j.chb.2020.106349,A meta-analysis of teaching and learning computer programming: Effective instructional approaches and conditions,A meta-analysis of teaching and learning computer programming: Effective instructional approaches and conditions,2020,Computers in Human Behavior,broad,0.7250000000000001,3,137.0,137.0,127.0,1.75,412.0,Computer science; Mathematics education; Instructional design; Psychology,p3_2020_2026
10.1016/j.chb.2023.107903,Artificial intelligence and human behavioral development: A perspective on new skills and competences acquisition for the educational contex,Artificial intelligence and human behavioral development: A perspective on new skills and competences acquisition for the educational context,2023,Computers in Human Behavior,broad,0.6666666666666667,2,136.0,136.0,143.0,1.5,708.0,Creativity; Competence (human resources); 21st century skills; Lifelong learning; Context (archaeology),p3_2020_2026
