doi,label,title,year,journal,ct_label_v2,ct_membership_score_v2,ct_score,citations_rank,openalex_cited_by_count,dimensions_times_cited,altmetric_score,mendeley_reader_count,openalex_top_concepts,period
10.3102/0013189x12463051,Computational Thinking in K-12: A Review of the State of the Field,Computational Thinking in K-12: A Review of the State of the Field,2013,Educational Researcher,broad,0.5416666666666667,3,2205.0,2205.0,,69.2,2310.0,Computational thinking; State (computer science); Sociology; Mathematics education; Wing,p2_2013_2019
10.1007/s10956-015-9581-5,Defining Computational Thinking for Mathematics and Science Classrooms,Defining Computational Thinking for Mathematics and Science Classrooms,2016,Journal of Science Education and Technology,broad,0.6333333333333333,3,1440.0,1440.0,1240.0,33.349999999999994,2036.0,Science education; Mathematics education; Computational thinking; Educational technology; Computer science,p2_2013_2019
10.1016/j.chb.2014.09.012,Review on teaching and learning of computational thinking through programming: What is next for K-12?,Review on teaching and learning of computational thinking through programming: What is next for K-12?,2014,Computers in Human Behavior,core,1.0,3,1240.0,1240.0,1064.0,35.0,1569.0,Computational thinking; Computer science; Think aloud protocol; Abstraction; Computational model,p2_2013_2019
10.1016/j.edurev.2017.09.003,Demystifying computational thinking,Demystifying computational thinking,2017,Educational Research Review,core,1.0,3,1236.0,1236.0,1128.0,115.5,1806.0,Variety (cybernetics); Computer science; Computational thinking; Abstraction; Debugging,p2_2013_2019
10.1016/j.compedu.2013.10.020,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,2014,Computers and Education,broad,0.5416666666666667,3,902.0,902.0,788.0,23.05,1266.0,Robotics; Computational thinking; Curriculum; Artificial intelligence; Constructionism,p2_2013_2019
10.1016/j.chb.2016.08.047,Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test,Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test,2017,Computers in Human Behavior,broad,0.6333333333333333,3,760.0,760.0,658.0,33.8,1287.0,Conceptualization; Psychology; Computational thinking; Cognitive psychology; Test (biology),p2_2013_2019
10.1007/s10639-015-9412-6,Computational thinking in compulsory education: Towards an agenda for research and practice,Computational thinking in compulsory education: Towards an agenda for research and practice,2015,Education and Information Technologies,broad,0.5416666666666667,3,586.0,586.0,468.0,26.45,975.0,Computational thinking; Computer science; Critical systems thinking; Competence (human resources); Logo (programming language),p2_2013_2019
10.1016/j.chb.2017.01.005,A validity and reliability study of the computational thinking scales (CTS),A validity and reliability study of the computational thinking scales (CTS),2017,Computers in Human Behavior,core,1.0,3,584.0,584.0,527.0,7.05,867.0,Computational thinking; Psychology; Scale (ratio); Likert scale; Reliability (semiconductor),p2_2013_2019
10.1016/j.robot.2015.10.008,Advancing students' computational thinking skills through educational robotics: A study on age and gender relevant differences,Advancing students' computational thinking skills through educational robotics: A study on age and gender relevant differences,2016,Robotics and Autonomous Systems,core,1.0,3,582.0,582.0,527.0,6.0,928.0,Modality (human–computer interaction); Context (archaeology); Vocational education; Computational thinking; Robotics,p2_2013_2019
10.1016/j.compedu.2016.03.003,"Visual programming languages integrated across the curriculum in elementary school: A two year case study using ""scratch"" in five schools","Visual programming languages integrated across the curriculum in elementary school: A two year case study using ""scratch"" in five schools",2016,Computers and Education,broad,0.6333333333333333,3,499.0,499.0,411.0,48.75,1122.0,Computational thinking; Scratch; Curriculum; Computer science; Visual programming language,p2_2013_2019
